Number,Type,Release date,Source,Short,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J,Efficiency in J/Mh
1,GPU,3/19/2012,https://www.cryptocompare.com/mining/amd/radeon-hd-7870-ethereum-mining/,7870,5/7/2018,AMD,Radeon HD 7870,10,175,0.06,17.15686275
2,GPU,3/22/2012,https://en.wikipedia.org/wiki/GeForce_600_series,680,5/7/2018,NVIDIA,GeForce GTX 680,15,195,0.08,13
3,GPU,8/16/2012,https://en.wikipedia.org/wiki/GeForce_600_series,660,5/7/2018,NVIDIA,GeForce GTX 660 Ti,12,150,0.08,12.76595745
4,GPU,10/9/2012,https://en.wikipedia.org/wiki/GeForce_600_series,650,5/7/2018,NVIDIA,GeForce GTX 650 Ti,10,110,0.09,10.64859632
5,GPU,4/1/2013,https://www.cryptocompare.com/mining/amd/radeon-r9-hd-7990-ethereum-mining/,7990,5/7/2018,AMD,Radeon HD 7990,36,375,0.10,10.41666667
6,GPU,5/23/2013,,780,5/7/2018,NVIDIA ,GeForce GTX 780,20,250,0.08,12.5
7,GPU,5/30/2013,https://en.wikipedia.org/wiki/GeForce_700_series,770,5/7/2018,NVIDIA,GeForce GTX 770,15,230,0.07,15.33333333
8,GPU,6/25/2013,https://en.wikipedia.org/wiki/GeForce_700_series,760,5/7/2018,NVIDIA,GeForce GTX 760,15,170,0.09,11.33333333
9,GPU,10/24/2013,http://www.sapphiretech.com/page.asp?IDno=5371&lang=eng,"R9, 290X",5/7/2018,AMD,Sapphire R9 290X,31,290,0.11,9.508196721
10,GPU,11/7/2013,https://en.wikipedia.org/wiki/GeForce_700_series,780TI,5/7/2018,NVIDIA,GeForce GTX 780 Ti,22,250,0.09,11.36363636
11,GPU,12/19/2013,https://www.cryptocompare.com/mining/amd/radeon-r9-290x-tri-x-ethereum-mining/,"R9, 290X",5/7/2018,AMD,Radeon R9 290x Tri-X,22,290,0.08,13.18181818
12,GPU,2/18/2014,https://www.cryptocompare.com/mining/nvidia/nvidia-geforce-gtx-750-ti-ethereum-mining/,750,5/7/2018,NVIDIA,GeForce GTX 750 Ti ,6,40,0.15,6.666666667
13,GPU,2/18/2014,https://en.wikipedia.org/wiki/GeForce_700_series,TITAN,5/7/2018,NVIDIA,GeForce GTX Titan Black,21,250,0.08,12.19512195
14,GPU,4/8/2014,https://www.cryptocompare.com/mining/amd/radeon-r9-295x2-ethereum-mining/,"295X2, R9",5/7/2018,AMD,Radeon R9 295x2,46,500,0.09,10.86956522
15,GPU,9/18/2014,https://en.wikipedia.org/wiki/GeForce_900_series,980,5/7/2018,NVIDIA,GeForce GTX 980,20,165,0.12,8.25
16,GPU,9/18/2014,https://www.cryptocompare.com/mining/nvidia/nvidia-geforce-gtx-970-ethereum-mining/,970,5/7/2018,NVIDIA,GeForce GTX 970,16,145,0.11,9.119496855
17,GPU,1/22/2015,https://en.wikipedia.org/wiki/GeForce_900_series,960,5/7/2018,NVIDIA,GeForce GTX 960,11,120,0.09,11.00917431
18,GPU,3/17/2015,https://en.wikipedia.org/wiki/GeForce_900_series,TITAN,5/7/2018,NVIDIA,GeForce GTX Titan X,40,250,0.16,6.25
19,GPU,6/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,"R9, 390",5/7/2018,AMD,Radeon R9 390,32,275,0.12,8.59375
20,GPU,6/1/2015,https://en.wikipedia.org/wiki/AMD_Radeon_Rx_300_series,"R9, 390",5/7/2018,AMD,Radeon R9 390X,34,275,0.12,8.208955224
21,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/strix-radeon-r7-370-ethereum-mining/,370,5/7/2018,AMD,Radeon Strix R7 370,12,110,0.11,9.166666667
22,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-380-ethereum-mining/,380,5/7/2018,AMD,Radeon R9 380,17,190,0.09,11.17647059
23,GPU,6/1/2015,https://www.cryptocompare.com/mining/amd/radeon-r9-fury-x-ethereum-mining/,"R9, FURY",5/7/2018,AMD,Radeon R9 Fury X,24,275,0.09,11.70212766
